epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
77,0.923447,61.583,1.427838,50.500,0.00029437,23.332,75.287,8.696,60.870,13.235,10.000,0.726826,0.745280,0.806683,0.645726,0.669219,0.754740,0.757763
78,0.932963,61.333,1.431279,48.500,0.00029266,23.276,85.057,17.391,15.217,32.353,10.000,0.720605,0.754913,0.834885,0.660710,0.659444,0.764041,0.683947
79,0.933014,61.917,1.503970,48.500,0.00029073,23.296,75.287,32.609,27.174,29.412,15.000,0.723943,0.754781,0.828553,0.685090,0.665549,0.753942,0.686579
80,0.937119,61.000,1.437135,50.250,0.00028858,23.289,78.736,19.565,39.130,22.059,20.000,0.723948,0.755278,0.835825,0.654630,0.668972,0.746102,0.714211
81,0.961775,59.917,1.524826,52.000,0.00028622,23.292,79.310,10.870,43.478,36.765,0.000,0.719168,0.751593,0.824814,0.650884,0.687571,0.734807,0.697763
82,0.922595,61.583,1.427308,50.000,0.00028365,23.339,79.310,15.217,22.826,45.588,15.000,0.715532,0.749820,0.830918,0.679808,0.655138,0.741008,0.670789
83,0.909504,63.583,1.547165,47.750,0.00028087,23.288,83.333,6.522,41.304,4.412,10.000,0.713663,0.749288,0.819016,0.643638,0.691911,0.743090,0.670658
84,0.925715,62.833,1.463744,49.000,0.00027790,23.291,77.586,30.435,23.913,35.294,5.000,0.708977,0.742024,0.814770,0.654200,0.646704,0.768028,0.661184
85,0.889666,62.250,1.632636,49.500,0.00027472,23.301,79.310,21.739,22.826,38.235,15.000,0.718982,0.755426,0.838089,0.664210,0.662161,0.755448,0.675000
86,0.891216,64.083,1.464860,47.750,0.00027135,23.291,81.609,6.522,28.261,26.471,10.000,0.712859,0.745399,0.828171,0.637743,0.648680,0.751019,0.698684
87,0.886490,64.083,1.527733,49.250,0.00026780,23.316,73.563,21.739,47.826,16.176,20.000,0.710168,0.738789,0.802233,0.600160,0.675184,0.765370,0.707895
88,0.874327,64.167,1.492342,46.000,0.00026406,23.381,79.885,23.913,13.043,29.412,10.000,0.692746,0.738840,0.851821,0.647384,0.595532,0.736889,0.632105
89,0.887313,63.750,1.468777,51.000,0.00026015,23.268,75.862,4.348,40.217,42.647,20.000,0.732296,0.759841,0.842030,0.630435,0.669008,0.759878,0.760132
90,0.873487,63.917,1.591495,50.000,0.00025607,23.346,81.034,21.739,23.913,36.765,10.000,0.711219,0.749479,0.831858,0.643085,0.659056,0.758150,0.663947
