epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_acc_c5,test_acc_c6,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4,test_auc_c5,test_auc_c6
63,0.080652,97.366,0.688075,82.693,0.00002210,136.916,69.697,70.874,70.000,43.478,64.574,90.007,82.759,0.955535,0.947947,0.951654,0.973503,0.947092,0.945444,0.924638,0.948787,0.997627
64,0.073617,97.603,0.682082,82.943,0.00001635,137.090,65.152,69.903,64.545,52.174,64.574,91.573,75.862,0.955666,0.948051,0.951264,0.973171,0.948676,0.946826,0.923842,0.948848,0.997033
65,0.073677,97.753,0.690782,83.142,0.00001142,137.025,65.152,69.903,65.909,47.826,63.677,91.797,79.310,0.956108,0.949050,0.950209,0.972813,0.947240,0.951367,0.925332,0.950366,0.995428
66,0.071538,97.715,0.691854,83.292,0.00000734,136.990,68.182,69.903,66.364,43.478,64.574,91.797,75.862,0.955995,0.949325,0.951560,0.970971,0.949149,0.949151,0.924801,0.950660,0.995672
67,0.067474,97.890,0.687334,83.491,0.00000414,137.062,66.667,68.932,68.182,43.478,63.677,92.021,79.310,0.955860,0.949249,0.951576,0.969797,0.949534,0.947747,0.925128,0.950519,0.996719
68,0.071359,97.553,0.697935,83.142,0.00000185,137.007,71.212,70.874,64.091,43.478,64.126,91.648,82.759,0.953812,0.948221,0.946888,0.970195,0.948291,0.940245,0.924134,0.949668,0.997260
69,0.064586,98.102,0.701363,82.993,0.00000046,137.164,69.697,68.932,63.636,39.130,63.677,91.872,82.759,0.954111,0.948062,0.949693,0.970251,0.947031,0.943140,0.923588,0.949575,0.995498
70,0.071495,97.778,0.697498,83.292,0.00030000,137.206,65.152,69.903,67.273,39.130,62.332,92.170,79.310,0.955558,0.948438,0.952068,0.970731,0.949063,0.946212,0.924587,0.949402,0.996841
71,0.249552,90.811,0.748486,80.449,0.00029988,136.767,62.121,55.340,44.545,47.826,57.848,93.438,82.759,0.946833,0.938956,0.965563,0.952426,0.938653,0.927895,0.912435,0.940143,0.990716
72,0.270057,89.700,0.605407,82.145,0.00029954,136.940,68.182,66.990,65.909,39.130,56.054,91.872,75.862,0.958933,0.947926,0.955171,0.963156,0.950400,0.980740,0.914418,0.949904,0.998744
73,0.235082,90.861,0.709168,78.105,0.00029896,137.073,56.061,71.845,62.273,34.783,74.888,83.743,68.966,0.952350,0.938759,0.954420,0.965688,0.940820,0.960887,0.917722,0.937607,0.989303
74,0.208525,92.097,0.662309,82.045,0.00029815,136.847,72.727,70.874,52.727,39.130,55.605,93.289,82.759,0.955614,0.945301,0.959968,0.966530,0.944296,0.955469,0.917654,0.946374,0.999005
75,0.198543,92.534,0.657615,80.349,0.00029712,136.977,60.606,67.961,55.455,17.391,65.022,89.784,89.655,0.958382,0.941101,0.967282,0.977780,0.944551,0.973062,0.906879,0.940324,0.998796
76,0.203244,92.247,0.714571,79.701,0.00029586,137.128,66.667,77.670,54.545,34.783,72.646,86.652,75.862,0.952174,0.940196,0.948083,0.974008,0.938243,0.958781,0.907614,0.941401,0.997086
77,0.185983,93.084,0.751273,80.150,0.00029437,137.107,75.758,69.903,67.273,13.043,51.121,89.038,89.655,0.950447,0.943773,0.938347,0.970312,0.940626,0.942395,0.916613,0.945865,0.998970
78,0.188531,93.109,0.660068,81.247,0.00029266,136.936,53.030,72.816,72.727,56.522,44.395,91.275,79.310,0.955461,0.943223,0.953256,0.976764,0.934250,0.961260,0.921900,0.943697,0.997103
79,0.183451,93.233,0.675635,82.843,0.00029073,137.093,59.091,75.728,67.727,21.739,54.260,92.692,89.655,0.953259,0.941956,0.946309,0.969322,0.941974,0.970956,0.909302,0.943500,0.991449
80,0.174020,93.508,0.722983,80.948,0.00028858,137.088,72.727,62.136,72.273,52.174,55.157,89.038,79.310,0.953816,0.940633,0.950271,0.974406,0.941974,0.976287,0.907355,0.941305,0.985114
81,0.149495,94.407,0.739893,81.646,0.00028622,137.076,50.000,79.612,55.000,47.826,67.265,90.977,68.966,0.952532,0.943965,0.942418,0.974245,0.948184,0.946935,0.915943,0.944517,0.995480
82,0.161235,93.958,0.747674,81.097,0.00028365,136.995,60.606,75.728,72.727,39.130,43.049,90.977,79.310,0.954854,0.942091,0.941293,0.978015,0.939232,0.976901,0.915166,0.942669,0.990699
83,0.156643,94.170,0.754173,80.698,0.00028087,137.166,53.030,74.757,48.636,43.478,58.744,92.170,75.862,0.950944,0.940842,0.947825,0.969715,0.933387,0.953100,0.917866,0.941992,0.992723
84,0.145068,94.644,0.717070,81.197,0.00027790,137.112,43.939,66.990,70.000,60.870,53.812,90.828,82.759,0.955042,0.944237,0.944942,0.973155,0.944530,0.974795,0.911638,0.945831,0.990402
85,0.126183,95.268,0.749098,81.546,0.00027472,137.078,60.606,71.845,55.455,47.826,66.368,90.828,75.862,0.952335,0.941798,0.958679,0.974176,0.939088,0.974685,0.912770,0.942702,0.964243
86,0.135899,94.856,0.780242,82.344,0.00027135,137.064,56.061,62.136,60.000,47.826,53.812,94.407,72.414,0.948781,0.944400,0.959148,0.970220,0.950117,0.937700,0.906436,0.946601,0.971241
87,0.119978,95.880,0.739564,81.696,0.00026780,137.046,51.515,61.165,82.727,30.435,56.054,89.709,82.759,0.957392,0.949131,0.944426,0.974159,0.950817,0.970166,0.912332,0.951866,0.997976
88,0.116363,95.768,0.756069,82.594,0.00026406,137.155,57.576,71.845,67.273,52.174,59.193,91.573,82.759,0.953942,0.944395,0.942590,0.974620,0.942205,0.963651,0.914219,0.946134,0.994171
89,0.107865,95.905,0.754325,81.197,0.00026015,137.227,46.970,77.670,73.182,43.478,57.848,88.963,82.759,0.953446,0.946927,0.946544,0.976836,0.951474,0.947879,0.918855,0.947736,0.984800
90,0.116603,95.543,0.786338,81.546,0.00025607,137.317,74.242,63.107,60.000,52.174,45.740,93.289,82.759,0.957444,0.943667,0.967150,0.972354,0.944636,0.968016,0.907367,0.944593,0.997993
91,0.123671,95.318,0.706417,82.045,0.00025182,137.186,54.545,66.990,66.818,43.478,54.260,92.394,79.310,0.956982,0.946915,0.952764,0.971001,0.952363,0.964068,0.913233,0.948099,0.997347
