epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
117,0.672369,73.750,1.750989,47.250,0.00010928,23.377,78.736,4.348,29.348,29.412,15.000,0.700928,0.735610,0.822322,0.610968,0.641375,0.738528,0.691447
118,0.646919,74.917,1.847173,44.500,0.00010365,23.362,76.437,10.870,23.913,20.588,20.000,0.693336,0.721813,0.804471,0.635716,0.622353,0.711774,0.692368
119,0.645542,74.000,1.791977,48.750,0.00009808,23.384,79.885,17.391,27.174,30.882,10.000,0.696599,0.726204,0.805844,0.626750,0.642398,0.711951,0.696053
120,0.630639,76.167,1.793446,43.000,0.00009260,23.327,76.437,8.696,20.652,17.647,20.000,0.673168,0.705036,0.794044,0.616065,0.603861,0.685817,0.666053
121,0.640293,75.917,1.862136,44.750,0.00008720,23.360,77.586,8.696,19.565,29.412,10.000,0.692524,0.725674,0.810650,0.619442,0.627047,0.727587,0.677895
122,0.606208,77.917,1.876060,45.000,0.00008190,23.386,79.885,6.522,20.652,22.059,20.000,0.684292,0.717358,0.808666,0.602370,0.611342,0.714608,0.684474
123,0.632760,75.500,1.826847,45.000,0.00007671,23.379,77.586,21.739,18.478,20.588,20.000,0.692329,0.723108,0.808056,0.636637,0.627435,0.705041,0.684474
124,0.608634,77.167,1.854852,45.500,0.00007163,23.380,82.184,8.696,20.652,17.647,20.000,0.694516,0.725995,0.813320,0.633505,0.627647,0.709027,0.689079
125,0.615668,77.500,1.864542,44.000,0.00006666,23.340,79.310,4.348,21.739,19.118,15.000,0.690288,0.721009,0.804191,0.629636,0.624118,0.712970,0.680526
126,0.590131,78.833,1.912899,45.250,0.00006183,23.400,78.161,13.043,18.478,29.412,10.000,0.687632,0.720088,0.801699,0.609678,0.631211,0.718994,0.676579
127,0.605063,77.083,1.848600,44.250,0.00005714,23.347,77.011,21.739,19.565,19.118,10.000,0.688333,0.717672,0.800478,0.633505,0.622988,0.700744,0.683947
128,0.589087,77.333,1.903429,45.250,0.00005258,23.352,78.736,8.696,25.000,17.647,25.000,0.694504,0.725036,0.807420,0.626320,0.636046,0.711286,0.691447
129,0.591267,78.250,1.913008,45.500,0.00004818,23.361,77.586,2.174,28.261,23.529,20.000,0.689424,0.717106,0.796460,0.609064,0.620271,0.723955,0.697368
130,0.565782,79.667,1.898877,44.000,0.00004393,23.379,79.310,8.696,21.739,16.176,15.000,0.683242,0.715279,0.800682,0.615881,0.620271,0.704376,0.675000
131,0.604226,76.667,1.905329,44.750,0.00003985,23.333,78.161,13.043,21.739,20.588,15.000,0.681820,0.714499,0.800097,0.617477,0.616460,0.707566,0.667500
132,0.559555,79.250,1.923636,44.750,0.00003594,23.366,78.161,10.870,22.826,19.118,20.000,0.686101,0.715304,0.799079,0.615512,0.615330,0.711375,0.689211
133,0.558234,79.917,1.900576,46.250,0.00003220,23.389,77.586,13.043,29.348,20.588,15.000,0.689380,0.718941,0.799283,0.622206,0.625000,0.716070,0.684342
134,0.548907,79.333,1.935390,45.000,0.00002865,23.368,78.736,13.043,21.739,19.118,20.000,0.685224,0.714283,0.796892,0.624232,0.618401,0.702383,0.684211
135,0.555629,80.250,1.918303,44.750,0.00002528,23.360,79.310,13.043,20.652,19.118,15.000,0.685475,0.714668,0.801724,0.619013,0.614872,0.697688,0.694079
136,0.577387,78.917,1.907988,46.500,0.00002210,23.292,78.736,13.043,25.000,22.059,25.000,0.690201,0.719911,0.803682,0.627856,0.624506,0.706015,0.688947
137,0.567536,79.167,1.893604,46.000,0.00001913,23.359,78.736,13.043,25.000,20.588,20.000,0.688096,0.718126,0.800936,0.618644,0.625882,0.707255,0.687763
138,0.567533,79.250,1.900795,45.000,0.00001635,23.316,78.736,10.870,22.826,20.588,15.000,0.682304,0.712905,0.794477,0.610968,0.624788,0.702339,0.678947
139,0.553453,79.583,1.914143,44.500,0.00001378,23.343,78.736,13.043,20.652,20.588,10.000,0.684465,0.715803,0.799588,0.621039,0.622283,0.703889,0.675526
140,0.553961,78.750,1.930211,44.500,0.00001142,23.376,79.310,10.870,21.739,17.647,15.000,0.681389,0.713012,0.797070,0.609862,0.622600,0.700700,0.676711
141,0.558714,79.917,1.929375,44.250,0.00000927,23.353,78.736,10.870,21.739,17.647,15.000,0.682793,0.715072,0.802741,0.609678,0.620236,0.700390,0.680921
142,0.543982,79.250,1.928672,45.000,0.00000734,23.409,79.310,10.870,22.826,17.647,20.000,0.679476,0.712172,0.800554,0.606853,0.618859,0.693746,0.677368
143,0.533931,80.667,1.921263,44.750,0.00000563,23.390,78.161,10.870,23.913,17.647,20.000,0.681759,0.713581,0.800224,0.611091,0.619565,0.698441,0.679474
144,0.557368,80.167,1.939104,44.000,0.00000414,23.393,78.161,10.870,20.652,17.647,20.000,0.682943,0.714617,0.801292,0.615021,0.620765,0.697245,0.680395
145,0.543437,80.167,1.947326,44.000,0.00000288,23.380,77.586,13.043,20.652,19.118,15.000,0.685661,0.716539,0.800961,0.616188,0.623941,0.703269,0.683947
146,0.552837,80.083,1.951993,44.750,0.00000185,23.396,78.736,13.043,21.739,17.647,20.000,0.684933,0.716898,0.803326,0.612012,0.623871,0.702560,0.682895
147,0.539479,81.167,1.936709,46.000,0.00000104,23.370,79.310,13.043,25.000,19.118,20.000,0.686439,0.718361,0.803581,0.609740,0.625812,0.709116,0.683947
148,0.563019,80.083,1.916987,45.500,0.00000046,23.386,80.460,13.043,19.565,20.588,20.000,0.687680,0.720076,0.805717,0.612994,0.627188,0.710135,0.682368
149,0.535065,79.833,1.938713,44.500,0.00000012,23.341,78.736,10.870,21.739,17.647,20.000,0.685787,0.717966,0.804420,0.609248,0.625353,0.705439,0.684474
150,0.547024,80.583,1.942918,44.750,0.00030000,23.323,78.736,10.870,22.826,17.647,20.000,0.686498,0.718908,0.806480,0.611152,0.624682,0.705174,0.685000
