epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
129,0.963013,58.833,1.276215,54.500,0.00004818,25.537,77.011,30.435,41.304,44.118,10.000,0.749229,0.779336,0.844777,0.685212,0.711604,0.784683,0.719868
130,0.961645,59.167,1.290364,54.500,0.00004393,25.560,75.862,28.261,42.391,47.059,10.000,0.746419,0.776820,0.841827,0.679747,0.709874,0.784594,0.716053
131,0.964518,58.750,1.282750,55.000,0.00003985,25.582,77.011,28.261,41.304,48.529,10.000,0.747906,0.778605,0.842793,0.687792,0.711392,0.786632,0.710921
132,0.970346,59.667,1.291367,54.250,0.00003594,25.510,78.161,21.739,41.304,45.588,10.000,0.748072,0.777547,0.840098,0.686134,0.712062,0.786012,0.716053
133,0.958072,58.833,1.288193,55.750,0.00003220,25.486,77.011,30.435,42.391,50.000,10.000,0.746830,0.777168,0.841166,0.688836,0.710580,0.782778,0.710789
134,0.964028,58.333,1.299103,55.500,0.00002865,25.595,76.437,32.609,43.478,47.059,10.000,0.747523,0.777420,0.840581,0.684721,0.711921,0.785524,0.714868
135,0.956741,59.917,1.288611,55.250,0.00002528,25.574,77.586,30.435,44.565,42.647,10.000,0.747291,0.776960,0.839742,0.683923,0.712627,0.784240,0.715921
136,0.966654,59.167,1.298463,55.500,0.00002210,25.607,77.586,30.435,41.304,48.529,10.000,0.747632,0.778071,0.841522,0.683984,0.713756,0.785347,0.713553
137,0.972385,58.583,1.294103,55.250,0.00001913,25.628,77.011,34.783,39.130,48.529,10.000,0.745719,0.778291,0.845896,0.687239,0.710827,0.779766,0.704868
138,0.965994,59.000,1.290942,56.000,0.00001635,25.579,78.736,30.435,41.304,48.529,10.000,0.746468,0.777103,0.841776,0.683432,0.712486,0.781095,0.713553
139,0.950630,59.083,1.299180,55.250,0.00001378,25.539,78.736,28.261,39.130,48.529,10.000,0.746922,0.776568,0.839716,0.682510,0.712768,0.782380,0.717237
140,0.956615,58.750,1.293180,55.750,0.00001142,25.568,77.586,32.609,41.304,48.529,10.000,0.746616,0.777721,0.842691,0.685704,0.711639,0.783044,0.710000
141,0.947320,58.750,1.293896,55.500,0.00000927,25.548,77.011,32.609,42.391,47.059,10.000,0.747618,0.777900,0.841623,0.684598,0.713333,0.783930,0.714605
142,0.958463,58.583,1.297493,55.250,0.00000734,25.657,77.586,30.435,41.304,47.059,10.000,0.748115,0.777976,0.841140,0.685520,0.712909,0.785214,0.715789
143,0.957135,58.833,1.290173,55.750,0.00000563,25.500,77.586,30.435,42.391,48.529,10.000,0.747648,0.778302,0.843124,0.686563,0.711639,0.783886,0.713026
144,0.951343,59.750,1.289547,56.000,0.00000414,25.552,77.586,32.609,42.391,48.529,10.000,0.747217,0.778435,0.843836,0.685949,0.712556,0.782557,0.711184
145,0.961270,59.500,1.289289,55.500,0.00000288,25.297,77.011,34.783,42.391,45.588,10.000,0.746574,0.778303,0.843861,0.686195,0.711957,0.783487,0.707368
146,0.958967,58.667,1.290724,55.500,0.00000185,25.430,77.586,30.435,41.304,48.529,10.000,0.747254,0.778992,0.843760,0.686993,0.712345,0.787119,0.706053
147,0.942609,59.833,1.296195,55.500,0.00000104,25.677,77.586,30.435,41.304,48.529,10.000,0.747341,0.778681,0.842666,0.685090,0.713227,0.787562,0.708158
148,0.948737,58.917,1.294552,55.500,0.00000046,25.411,77.011,32.609,41.304,48.529,10.000,0.747892,0.778913,0.843454,0.687116,0.712662,0.785569,0.710658
149,0.952629,59.000,1.285632,55.250,0.00000012,26.310,77.011,32.609,40.217,48.529,10.000,0.746547,0.779192,0.845692,0.687362,0.711709,0.784816,0.703158
150,0.962983,58.333,1.286138,55.250,0.00030000,25.593,77.011,32.609,40.217,48.529,10.000,0.746299,0.778784,0.845006,0.687853,0.712168,0.783177,0.703289
