coverage,risk_mean,ci_low,ci_high
0.6425000000,0.3501945525,0.3314827082,0.3689063968
0.6450000000,0.3519379845,0.3322707807,0.3716051883
0.6475000000,0.3528957529,0.3354121817,0.3703793241
0.6500000000,0.3546153846,0.3382802141,0.3709505551
0.6525000000,0.3555555556,0.3386018185,0.3725092926
0.6550000000,0.3564885496,0.3392051720,0.3737719272
0.6575000000,0.3574144487,0.3391294905,0.3756994068
0.6600000000,0.3583333333,0.3387708847,0.3778957819
0.6625000000,0.3584905660,0.3377998500,0.3791812821
0.6650000000,0.3593984962,0.3381095522,0.3806874403
0.6675000000,0.3588014981,0.3366447635,0.3809582328
0.6700000000,0.3604477612,0.3366877211,0.3842078013
0.6725000000,0.3613382900,0.3379381545,0.3847384254
0.6750000000,0.3607407407,0.3369335736,0.3845479079
0.6775000000,0.3608856089,0.3381145474,0.3836566703
0.6800000000,0.3632352941,0.3405479498,0.3859226384
0.6825000000,0.3641025641,0.3390666902,0.3891384380
0.6850000000,0.3649635036,0.3414165132,0.3885104941
0.6875000000,0.3665454545,0.3441056086,0.3889853005
0.6900000000,0.3673913043,0.3447628303,0.3900197784
0.6925000000,0.3682310469,0.3474463570,0.3890157369
0.6950000000,0.3697841727,0.3497101238,0.3898582216
0.6975000000,0.3698924731,0.3479993576,0.3917855886
0.7000000000,0.3714285714,0.3503938233,0.3924633196
0.7025000000,0.3729537367,0.3509930333,0.3949144400
0.7050000000,0.3730496454,0.3494613841,0.3966379066
0.7075000000,0.3738515901,0.3520460861,0.3956570942
0.7100000000,0.3753521127,0.3523001373,0.3984040880
0.7125000000,0.3747368421,0.3526503985,0.3968232857
0.7150000000,0.3762237762,0.3533330035,0.3991145490
0.7175000000,0.3763066202,0.3557849147,0.3968283257
0.7200000000,0.3763888889,0.3555780512,0.3971997266
0.7225000000,0.3771626298,0.3561145797,0.3982106798
0.7250000000,0.3779310345,0.3563949696,0.3994670994
0.7275000000,0.3800687285,0.3586066707,0.4015307863
0.7300000000,0.3815068493,0.3614263888,0.4015873099
0.7325000000,0.3829351536,0.3631942814,0.4026760257
0.7350000000,0.3829931973,0.3642004898,0.4017859048
0.7375000000,0.3837288136,0.3641217778,0.4033358493
0.7400000000,0.3831081081,0.3646795637,0.4015366525
0.7425000000,0.3831649832,0.3639156553,0.4024143111
0.7450000000,0.3852348993,0.3660501665,0.4044196322
0.7475000000,0.3859531773,0.3686806474,0.4032257071
0.7500000000,0.3860000000,0.3690862047,0.4029137953
0.7525000000,0.3853820598,0.3694055017,0.4013586179
0.7550000000,0.3854304636,0.3680841518,0.4027767753
0.7575000000,0.3861386139,0.3685128753,0.4037643525
0.7600000000,0.3881578947,0.3705901356,0.4057256539
0.7625000000,0.3881967213,0.3696299701,0.4067634725
0.7650000000,0.3888888889,0.3681984675,0.4095793103
0.7675000000,0.3902280130,0.3683726946,0.4120833315
0.7700000000,0.3915584416,0.3688249087,0.4142919745
0.7725000000,0.3922330097,0.3692546255,0.4152113939
0.7750000000,0.3929032258,0.3678256571,0.4179807945
0.7775000000,0.3935691318,0.3682239026,0.4189143610
0.7800000000,0.3942307692,0.3682863496,0.4201751889
0.7825000000,0.3955271565,0.3684178635,0.4226364496
0.7850000000,0.3968152866,0.3702004661,0.4234301072
0.7875000000,0.3961904762,0.3704327529,0.4219481994
0.7900000000,0.3974683544,0.3725241573,0.4224125515
0.7925000000,0.3987381703,0.3741831046,0.4232932361
0.7950000000,0.4000000000,0.3741882359,0.4258117641
0.7975000000,0.4000000000,0.3732302709,0.4267697291
0.8000000000,0.4000000000,0.3753065584,0.4246934416
0.8025000000,0.4006230530,0.3753172023,0.4259289036
0.8050000000,0.4012422360,0.3757511149,0.4267333571
0.8075000000,0.4018575851,0.3764453839,0.4272697863
0.8100000000,0.4030864198,0.3770099033,0.4291629362
0.8125000000,0.4030769231,0.3771650001,0.4289888460
0.8150000000,0.4036809816,0.3787632575,0.4285987057
0.8175000000,0.4048929664,0.3810888200,0.4286971127
0.8200000000,0.4054878049,0.3834143810,0.4275612288
0.8225000000,0.4060790274,0.3843004098,0.4278576449
0.8250000000,0.4072727273,0.3847598159,0.4297856387
0.8275000000,0.4078549849,0.3845790861,0.4311308837
0.8300000000,0.4096385542,0.3864327636,0.4328443449
0.8325000000,0.4096096096,0.3847918989,0.4344273204
0.8350000000,0.4095808383,0.3857188719,0.4334428047
0.8375000000,0.4095522388,0.3864946036,0.4326098740
0.8400000000,0.4089285714,0.3869726249,0.4308845180
0.8425000000,0.4094955490,0.3886530793,0.4303380186
0.8450000000,0.4106508876,0.3908000510,0.4305017242
0.8475000000,0.4100294985,0.3911744642,0.4288845329
0.8500000000,0.4100000000,0.3900642167,0.4299357833
0.8525000000,0.4093841642,0.3905339145,0.4282344139
0.8550000000,0.4099415205,0.3922668162,0.4276162247
0.8575000000,0.4099125364,0.3909981920,0.4288268808
0.8600000000,0.4116279070,0.3927685461,0.4304872678
0.8625000000,0.4115942029,0.3930670822,0.4301213236
0.8650000000,0.4121387283,0.3933883811,0.4308890755
0.8675000000,0.4132564841,0.3933978227,0.4331151456
0.8700000000,0.4143678161,0.3952531906,0.4334824416
0.8725000000,0.4137535817,0.3953354294,0.4321717339
0.8750000000,0.4131428571,0.3941043764,0.4321813379
0.8775000000,0.4136752137,0.3940747583,0.4332756690
0.8800000000,0.4142045455,0.3956392737,0.4327698172
0.8825000000,0.4141643059,0.3942044538,0.4341241581
0.8850000000,0.4158192090,0.3959157407,0.4357226774
0.8875000000,0.4163380282,0.3964906259,0.4361854304
0.8900000000,0.4157303371,0.3949492497,0.4365114244
0.8925000000,0.4168067227,0.3954513798,0.4381620655
0.8950000000,0.4178770950,0.3969805553,0.4387736346
0.8975000000,0.4183844011,0.3978642303,0.4389045720
0.9000000000,0.4183333333,0.3981334599,0.4385332068
0.9025000000,0.4188365651,0.3968936617,0.4407794685
0.9050000000,0.4187845304,0.3970100379,0.4405590229
0.9075000000,0.4192837466,0.3971952838,0.4413722093
0.9100000000,0.4203296703,0.3991639492,0.4414953915
0.9125000000,0.4208219178,0.3992263937,0.4424174419
0.9150000000,0.4213114754,0.3994040657,0.4432188852
0.9175000000,0.4217983651,0.3994328583,0.4441638719
0.9200000000,0.4228260870,0.4007522335,0.4448999404
0.9225000000,0.4233062331,0.4010619485,0.4455505176
0.9250000000,0.4237837838,0.4012220961,0.4463454714
0.9275000000,0.4242587601,0.4026207001,0.4458968201
0.9300000000,0.4241935484,0.4031627189,0.4452243779
0.9325000000,0.4246648794,0.4032719487,0.4460578100
0.9350000000,0.4256684492,0.4037215482,0.4476153502
0.9375000000,0.4256000000,0.4041927460,0.4470072540
0.9400000000,0.4260638298,0.4043589134,0.4477687462
0.9425000000,0.4270557029,0.4060957525,0.4480156533
0.9450000000,0.4275132275,0.4061492323,0.4488772228
0.9475000000,0.4279683377,0.4060645793,0.4498720961
0.9500000000,0.4278947368,0.4060241972,0.4497652765
0.9525000000,0.4293963255,0.4075831888,0.4512094621
0.9550000000,0.4303664921,0.4089777781,0.4517552062
0.9575000000,0.4302872063,0.4105140142,0.4500603983
0.9600000000,0.4312500000,0.4121750905,0.4503249095
0.9625000000,0.4322077922,0.4137372229,0.4506783615
0.9650000000,0.4331606218,0.4153374098,0.4509838337
0.9675000000,0.4335917313,0.4167054893,0.4504779733
0.9700000000,0.4350515464,0.4182088256,0.4518942671
0.9725000000,0.4354755784,0.4191061935,0.4518449634
0.9750000000,0.4358974359,0.4204636165,0.4513312553
0.9775000000,0.4352941176,0.4191953033,0.4513929320
0.9800000000,0.4362244898,0.4203869388,0.4520620408
0.9825000000,0.4361323155,0.4199295401,0.4523350910
0.9850000000,0.4360406091,0.4205376162,0.4515436021
0.9875000000,0.4359493671,0.4216475188,0.4502512154
0.9900000000,0.4353535354,0.4208825300,0.4498245407
0.9925000000,0.4357682620,0.4216073732,0.4499291508
0.9950000000,0.4366834171,0.4231924892,0.4501743450
0.9975000000,0.4365914787,0.4236853671,0.4494975903
1.0000000000,0.4365000000,0.4241612081,0.4488387919
