epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
129,0.594170,78.333,1.908833,45.000,0.00004818,23.376,77.011,2.174,27.174,23.529,20.000,0.690777,0.718500,0.797579,0.612073,0.622424,0.724309,0.697500
130,0.569155,79.833,1.893970,43.500,0.00004393,23.367,78.736,8.696,20.652,16.176,15.000,0.683850,0.716086,0.802156,0.618398,0.620377,0.703579,0.674737
131,0.607766,76.833,1.902169,44.500,0.00003985,23.261,78.161,13.043,21.739,19.118,15.000,0.681854,0.714758,0.800504,0.618460,0.616777,0.707344,0.666184
132,0.562594,79.000,1.926425,44.750,0.00003594,23.293,78.736,10.870,21.739,19.118,20.000,0.686044,0.715422,0.799613,0.614161,0.615824,0.710755,0.689868
133,0.561555,79.667,1.902164,46.000,0.00003220,23.428,78.161,13.043,28.261,17.647,20.000,0.689448,0.719181,0.800300,0.622267,0.624929,0.714741,0.685000
134,0.552183,79.000,1.934861,45.000,0.00002865,23.316,79.885,10.870,20.652,19.118,20.000,0.685621,0.714536,0.796918,0.623618,0.618683,0.703490,0.685395
135,0.558395,79.833,1.915191,44.250,0.00002528,23.347,78.161,13.043,20.652,17.647,20.000,0.685572,0.714746,0.801750,0.619565,0.616777,0.694897,0.694868
136,0.581056,78.833,1.908508,46.000,0.00002210,23.306,78.161,13.043,25.000,20.588,25.000,0.689675,0.719457,0.803809,0.626627,0.625071,0.702737,0.690132
137,0.569805,79.500,1.892990,46.000,0.00001913,23.292,78.736,13.043,25.000,20.588,20.000,0.687243,0.717239,0.800885,0.619013,0.625071,0.702826,0.688421
138,0.570695,79.250,1.898807,44.250,0.00001635,23.338,78.161,10.870,22.826,17.647,15.000,0.681389,0.712341,0.794858,0.609371,0.624929,0.698972,0.678816
139,0.557137,79.083,1.912064,43.750,0.00001378,23.372,78.161,13.043,19.565,19.118,10.000,0.684317,0.715539,0.799359,0.621776,0.622988,0.701276,0.676184
140,0.558827,78.417,1.929573,44.250,0.00001142,23.341,78.736,10.870,21.739,17.647,15.000,0.680896,0.712808,0.797401,0.610169,0.623165,0.697954,0.675789
141,0.563105,79.333,1.927838,44.250,0.00000927,23.332,78.736,10.870,21.739,17.647,15.000,0.683018,0.715023,0.802487,0.609310,0.620447,0.700213,0.682632
142,0.547398,79.333,1.925971,45.500,0.00000734,23.355,79.310,10.870,25.000,17.647,20.000,0.679392,0.712115,0.800910,0.607345,0.619283,0.691398,0.678026
143,0.539970,80.583,1.918460,44.750,0.00000563,23.297,78.161,10.870,23.913,17.647,20.000,0.681730,0.713744,0.800910,0.611398,0.620200,0.696536,0.679605
144,0.561123,79.583,1.935956,44.000,0.00000414,23.300,78.161,10.870,21.739,17.647,15.000,0.683102,0.715031,0.802284,0.616863,0.621153,0.695606,0.679605
145,0.547609,80.000,1.944397,43.750,0.00000288,23.308,77.011,10.870,21.739,19.118,15.000,0.685162,0.716089,0.801368,0.616925,0.622918,0.700390,0.684211
146,0.556760,79.833,1.947421,44.750,0.00000185,23.306,78.736,13.043,21.739,17.647,20.000,0.684520,0.716755,0.804267,0.612196,0.623341,0.699903,0.682895
147,0.544091,80.917,1.932685,45.750,0.00000104,23.338,78.736,13.043,26.087,17.647,20.000,0.686487,0.718316,0.804038,0.608818,0.626765,0.706237,0.686579
148,0.567426,79.750,1.914575,45.500,0.00000046,23.312,80.460,13.043,20.652,19.118,20.000,0.687578,0.719723,0.805488,0.612994,0.627188,0.708141,0.684079
149,0.538660,79.667,1.935637,44.500,0.00000012,23.317,78.736,10.870,21.739,17.647,20.000,0.685480,0.717994,0.805005,0.609433,0.625918,0.703490,0.683553
150,0.550987,80.417,1.939821,44.750,0.00030000,23.347,78.736,10.870,22.826,17.647,20.000,0.686568,0.719162,0.807344,0.611398,0.624859,0.703978,0.685263
