coverage,risk_mean,ci_low,ci_high
0.2725000000,0.1504587156,0.1331827827,0.1677346485
0.2750000000,0.1490909091,0.1319720301,0.1662097881
0.2775000000,0.1477477477,0.1307830929,0.1647124026
0.2800000000,0.1464285714,0.1296153867,0.1632417561
0.2825000000,0.1451327434,0.1284683479,0.1617971388
0.2850000000,0.1456140351,0.1290958185,0.1621322517
0.2875000000,0.1478260870,0.1346024207,0.1610497532
0.2900000000,0.1465517241,0.1334420551,0.1596613932
0.2925000000,0.1487179487,0.1392258287,0.1582100687
0.2950000000,0.1491525424,0.1433890900,0.1549159948
0.2975000000,0.1512605042,0.1438824451,0.1586385633
0.3000000000,0.1500000000,0.1426834247,0.1573165753
0.3025000000,0.1520661157,0.1428877848,0.1612444466
0.3050000000,0.1540983607,0.1408284280,0.1673682933
0.3075000000,0.1528455285,0.1396834814,0.1660075755
0.3100000000,0.1532258065,0.1409619225,0.1654896904
0.3125000000,0.1520000000,0.1398342271,0.1641657729
0.3150000000,0.1507936508,0.1387244316,0.1628628700
0.3175000000,0.1511811024,0.1404710649,0.1618911399
0.3200000000,0.1531250000,0.1420647283,0.1641852717
0.3225000000,0.1565891473,0.1460451569,0.1671331377
0.3250000000,0.1584615385,0.1439763332,0.1729467438
0.3275000000,0.1587786260,0.1464203681,0.1711368839
0.3300000000,0.1606060606,0.1527359800,0.1684761412
0.3325000000,0.1609022556,0.1557888167,0.1660156946
0.3350000000,0.1611940299,0.1561187509,0.1662693088
0.3375000000,0.1600000000,0.1549623157,0.1650376843
0.3400000000,0.1617647059,0.1617647059,0.1617647059
0.3425000000,0.1605839416,0.1605839416,0.1605839416
0.3450000000,0.1608695652,0.1568457317,0.1648933987
0.3475000000,0.1611510791,0.1562583642,0.1660437941
0.3500000000,0.1600000000,0.1551422330,0.1648577670
0.3525000000,0.1602836879,0.1554603732,0.1651070027
0.3550000000,0.1605633803,0.1566528942,0.1644738663
0.3575000000,0.1594405594,0.1555574194,0.1633236994
0.3600000000,0.1597222222,0.1536250762,0.1658193683
0.3625000000,0.1600000000,0.1506194844,0.1693805156
0.3650000000,0.1589041096,0.1495878441,0.1682203751
0.3675000000,0.1619047619,0.1548377508,0.1689717730
0.3700000000,0.1621621622,0.1562298038,0.1680945205
0.3725000000,0.1637583893,0.1563048454,0.1712119332
0.3750000000,0.1653333333,0.1584076624,0.1722590042
0.3775000000,0.1668874172,0.1578796373,0.1758951971
0.3800000000,0.1697368421,0.1629022985,0.1765713857
0.3825000000,0.1725490196,0.1681040040,0.1769940352
0.3850000000,0.1753246753,0.1696234478,0.1810259028
0.3875000000,0.1767741935,0.1696091739,0.1839392132
0.3900000000,0.1807692308,0.1720501618,0.1894882998
0.3925000000,0.1808917197,0.1738179743,0.1879654652
0.3950000000,0.1822784810,0.1757034770,0.1888534850
0.3975000000,0.1861635220,0.1791787545,0.1931482896
0.4000000000,0.1900000000,0.1811517826,0.1988482174
0.4025000000,0.1937888199,0.1873363315,0.2002413083
0.4050000000,0.1987654321,0.1923527739,0.2051780903
0.4075000000,0.2000000000,0.1913146333,0.2086853667
0.4100000000,0.2000000000,0.1917062515,0.2082937485
0.4125000000,0.2024242424,0.1956934664,0.2091550184
0.4150000000,0.2060240964,0.1978302725,0.2142179202
0.4175000000,0.2095808383,0.2021457246,0.2170159521
0.4200000000,0.2107142857,0.2066661465,0.2147624249
0.4225000000,0.2142011834,0.2109154496,0.2174869173
0.4250000000,0.2164705882,0.2132041822,0.2197369942
0.4275000000,0.2187134503,0.2147363311,0.2226905695
0.4300000000,0.2220930233,0.2188645987,0.2253214478
0.4325000000,0.2254335260,0.2203584449,0.2305086071
0.4350000000,0.2287356322,0.2209185359,0.2365527285
0.4375000000,0.2320000000,0.2239102013,0.2400897987
0.4400000000,0.2352272727,0.2245279734,0.2459265721
0.4425000000,0.2384180791,0.2249243594,0.2519117988
0.4450000000,0.2393258427,0.2276533637,0.2509983217
0.4475000000,0.2424581006,0.2308508309,0.2540653702
0.4500000000,0.2433333333,0.2343392679,0.2523273988
0.4525000000,0.2453038674,0.2349001288,0.2557076060
0.4550000000,0.2472527473,0.2344893372,0.2600161573
0.4575000000,0.2480874317,0.2340176543,0.2621572091
0.4600000000,0.2489130435,0.2350834023,0.2627426846
0.4625000000,0.2529729730,0.2392180866,0.2667278593
0.4650000000,0.2537634409,0.2392910570,0.2682358247
0.4675000000,0.2534759358,0.2397071162,0.2672447554
0.4700000000,0.2531914894,0.2411936454,0.2651893333
0.4725000000,0.2550264550,0.2432743064,0.2667786036
0.4750000000,0.2568421053,0.2442716401,0.2694125705
0.4775000000,0.2586387435,0.2468293473,0.2704481396
0.4800000000,0.2625000000,0.2507521111,0.2742478889
0.4825000000,0.2663212435,0.2546342245,0.2780082625
0.4850000000,0.2670103093,0.2564934941,0.2775271244
0.4875000000,0.2676923077,0.2538878800,0.2814967354
0.4900000000,0.2693877551,0.2529899614,0.2857855488
0.4925000000,0.2710659898,0.2546301342,0.2875018455
0.4950000000,0.2727272727,0.2573664483,0.2880880971
0.4975000000,0.2753768844,0.2592262936,0.2915274752
0.5000000000,0.2790000000,0.2629301621,0.2950698379
0.5025000000,0.2805970149,0.2657197866,0.2954742433
0.5050000000,0.2831683168,0.2672575863,0.2990790474
0.5075000000,0.2837438424,0.2672177764,0.3002699083
0.5100000000,0.2852941176,0.2689620876,0.3016261477
0.5125000000,0.2868292683,0.2705769067,0.3030816299
0.5150000000,0.2902912621,0.2741177955,0.3064647288
0.5175000000,0.2927536232,0.2789443227,0.3065629236
0.5200000000,0.2951923077,0.2802088851,0.3101757303
0.5225000000,0.2966507177,0.2815041413,0.3117972942
0.5250000000,0.2980952381,0.2810609558,0.3151295204
0.5275000000,0.3014218009,0.2844682498,0.3183753521
