coverage,risk
0.2450000000,0.1734693878
0.2475000000,0.1717171717
0.2500000000,0.1700000000
0.2525000000,0.1683168317
0.2550000000,0.1666666667
0.2575000000,0.1650485437
0.2600000000,0.1730769231
0.2625000000,0.1714285714
0.2650000000,0.1698113208
0.2675000000,0.1682242991
0.2700000000,0.1666666667
0.2725000000,0.1651376147
0.2750000000,0.1636363636
0.2775000000,0.1621621622
0.2800000000,0.1607142857
0.2825000000,0.1592920354
0.2850000000,0.1578947368
0.2875000000,0.1565217391
0.2900000000,0.1551724138
0.2925000000,0.1538461538
0.2950000000,0.1525423729
0.2975000000,0.1512605042
0.3000000000,0.1500000000
0.3025000000,0.1487603306
0.3050000000,0.1557377049
0.3075000000,0.1544715447
0.3100000000,0.1532258065
0.3125000000,0.1520000000
0.3150000000,0.1507936508
0.3175000000,0.1496062992
0.3200000000,0.1562500000
0.3225000000,0.1627906977
0.3250000000,0.1692307692
0.3275000000,0.1679389313
0.3300000000,0.1666666667
0.3325000000,0.1654135338
0.3350000000,0.1641791045
0.3375000000,0.1629629630
0.3400000000,0.1617647059
0.3425000000,0.1605839416
0.3450000000,0.1594202899
0.3475000000,0.1582733813
0.3500000000,0.1571428571
0.3525000000,0.1560283688
0.3550000000,0.1549295775
0.3575000000,0.1538461538
0.3600000000,0.1527777778
0.3625000000,0.1517241379
0.3650000000,0.1506849315
0.3675000000,0.1564625850
0.3700000000,0.1621621622
0.3725000000,0.1677852349
0.3750000000,0.1666666667
0.3775000000,0.1655629139
0.3800000000,0.1710526316
0.3825000000,0.1764705882
0.3850000000,0.1818181818
0.3875000000,0.1870967742
0.3900000000,0.1923076923
0.3925000000,0.1910828025
0.3950000000,0.1898734177
0.3975000000,0.1949685535
0.4000000000,0.2000000000
0.4025000000,0.1987577640
0.4050000000,0.2037037037
0.4075000000,0.2024539877
0.4100000000,0.2012195122
0.4125000000,0.2060606061
0.4150000000,0.2108433735
0.4175000000,0.2095808383
0.4200000000,0.2083333333
0.4225000000,0.2130177515
0.4250000000,0.2176470588
0.4275000000,0.2163742690
0.4300000000,0.2209302326
0.4325000000,0.2196531792
0.4350000000,0.2183908046
0.4375000000,0.2228571429
0.4400000000,0.2215909091
0.4425000000,0.2203389831
0.4450000000,0.2247191011
0.4475000000,0.2290502793
0.4500000000,0.2333333333
0.4525000000,0.2375690608
0.4550000000,0.2362637363
0.4575000000,0.2349726776
0.4600000000,0.2391304348
0.4625000000,0.2432432432
0.4650000000,0.2473118280
0.4675000000,0.2513368984
0.4700000000,0.2500000000
0.4725000000,0.2486772487
0.4750000000,0.2526315789
0.4775000000,0.2565445026
0.4800000000,0.2604166667
0.4825000000,0.2642487047
0.4850000000,0.2628865979
0.4875000000,0.2615384615
0.4900000000,0.2602040816
0.4925000000,0.2639593909
0.4950000000,0.2676767677
0.4975000000,0.2663316583
0.5000000000,0.2700000000
0.5025000000,0.2736318408
0.5050000000,0.2722772277
0.5075000000,0.2758620690
0.5100000000,0.2794117647
0.5125000000,0.2780487805
0.5150000000,0.2815533981
0.5175000000,0.2850241546
0.5200000000,0.2884615385
0.5225000000,0.2870813397
0.5250000000,0.2904761905
0.5275000000,0.2938388626
0.5300000000,0.2971698113
0.5325000000,0.2957746479
0.5350000000,0.2990654206
0.5375000000,0.2976744186
0.5400000000,0.2962962963
0.5425000000,0.2995391705
0.5450000000,0.3027522936
0.5475000000,0.3059360731
0.5500000000,0.3090909091
0.5525000000,0.3122171946
0.5550000000,0.3153153153
0.5575000000,0.3183856502
0.5600000000,0.3169642857
0.5625000000,0.3155555556
0.5650000000,0.3141592920
0.5675000000,0.3171806167
0.5700000000,0.3157894737
0.5725000000,0.3144104803
0.5750000000,0.3130434783
0.5775000000,0.3116883117
0.5800000000,0.3146551724
